seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,biofilm,2.8,0.0001,0.2,0,,,1,6.452565131258147,0,extinction,0,0
1,biofilm,2.8,0.0001,0.2,0,,,1,7.260024871559955,0,extinction,0,0
2,biofilm,2.8,0.0001,0.2,1,4.810725759423952,edge,0,,184,rescue,0,1
3,biofilm,2.8,0.0001,0.2,0,,,1,7.410341542277724,0,extinction,0,1
4,biofilm,2.8,0.0001,0.2,0,,,1,7.920751620030273,0,extinction,0,0
5,biofilm,2.8,0.0001,0.2,0,,,1,7.459865949288769,0,extinction,0,1
6,biofilm,2.8,0.0001,0.2,0,,,1,7.625231479344625,0,extinction,0,0
7,biofilm,2.8,0.0001,0.2,0,,,1,7.517221574103544,0,extinction,0,0
8,biofilm,2.8,0.0001,0.2,0,,,1,9.424774691495854,0,extinction,0,0
9,biofilm,2.8,0.0001,0.2,0,,,1,7.1427681042220925,0,extinction,0,0
10,biofilm,2.8,0.0001,0.2,0,,,1,6.459562032138166,0,extinction,0,0
11,biofilm,2.8,0.0001,0.2,0,,,1,6.706985877059548,0,extinction,0,0
12,biofilm,2.8,0.0001,0.2,0,,,1,6.964811038237008,0,extinction,0,0
13,biofilm,2.8,0.0001,0.2,0,,,1,8.584291428527377,0,extinction,0,0
14,biofilm,2.8,0.0001,0.2,0,,,1,7.383601908204485,0,extinction,0,0
15,biofilm,2.8,0.0001,0.2,0,,,1,7.247796664834687,0,extinction,0,0
16,biofilm,2.8,0.0001,0.2,0,,,1,7.255313675982504,0,extinction,0,0
17,biofilm,2.8,0.0001,0.2,0,,,1,9.13728366062292,0,extinction,0,0
18,biofilm,2.8,0.0001,0.2,0,,,1,7.210062407090539,0,extinction,0,0
19,biofilm,2.8,0.0001,0.2,0,,,1,8.43829633172868,0,extinction,0,0
20,biofilm,2.8,0.0001,0.2,0,,,1,8.019449063501602,0,extinction,0,0
21,biofilm,2.8,0.0001,0.2,0,,,1,8.091342036423901,0,extinction,0,0
22,biofilm,2.8,0.0001,0.2,0,,,1,9.070937094219095,0,extinction,0,0
23,biofilm,2.8,0.0001,0.2,0,,,1,7.5049869851317,0,extinction,0,0
24,biofilm,2.8,0.0001,0.2,0,,,1,6.418718154141327,0,extinction,0,0
25,biofilm,2.8,0.0001,0.2,0,,,1,7.599955322061239,0,extinction,0,0
26,biofilm,2.8,0.0001,0.2,0,,,1,10.824143752460655,0,extinction,1,0
27,biofilm,2.8,0.0001,0.2,0,,,1,8.81090112848521,0,extinction,0,0
28,biofilm,2.8,0.0001,0.2,0,,,1,7.994220709224093,0,extinction,0,0
29,biofilm,2.8,0.0001,0.2,0,,,1,9.74590720758072,0,extinction,0,0
30,biofilm,2.8,0.0001,0.2,0,,,1,6.769930205242801,0,extinction,0,0
31,biofilm,2.8,0.0001,0.2,0,,,1,7.028721919788867,0,extinction,0,0
32,biofilm,2.8,0.0001,0.2,0,,,1,7.187989170506408,0,extinction,0,0
33,biofilm,2.8,0.0001,0.2,0,,,1,8.27003728488175,0,extinction,0,0
34,biofilm,2.8,0.0001,0.2,0,,,1,6.92541967165202,0,extinction,0,0
