seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,chainWM,2.8,0.0001,0.2,0,,,1,2.7939368132874214,0,extinction,0,0
1,chainWM,2.8,0.0001,0.2,0,,,1,4.5963834435412805,0,extinction,0,0
2,chainWM,2.8,0.0001,0.2,0,,,1,3.657372654905173,0,extinction,0,0
3,chainWM,2.8,0.0001,0.2,0,,,1,3.7508208585465823,0,extinction,0,0
4,chainWM,2.8,0.0001,0.2,0,,,1,2.9915953820366163,0,extinction,0,0
5,chainWM,2.8,0.0001,0.2,0,,,1,3.2535062987227845,0,extinction,0,0
6,chainWM,2.8,0.0001,0.2,0,,,1,3.6946965047916693,0,extinction,0,0
7,chainWM,2.8,0.0001,0.2,0,,,1,3.7941263684731723,0,extinction,0,0
8,chainWM,2.8,0.0001,0.2,0,,,1,3.522460949604154,0,extinction,0,0
9,chainWM,2.8,0.0001,0.2,0,,,1,4.607124358823287,0,extinction,0,0
10,chainWM,2.8,0.0001,0.2,0,,,1,3.7669473714587483,0,extinction,0,0
11,chainWM,2.8,0.0001,0.2,0,,,1,3.303024031736397,0,extinction,0,0
12,chainWM,2.8,0.0001,0.2,0,,,1,3.653665679229332,0,extinction,0,0
13,chainWM,2.8,0.0001,0.2,0,,,1,3.706177455901903,0,extinction,0,0
14,chainWM,2.8,0.0001,0.2,0,,,1,3.865283629734006,0,extinction,0,0
15,chainWM,2.8,0.0001,0.2,0,,,1,3.461687719464158,0,extinction,0,0
16,chainWM,2.8,0.0001,0.2,0,,,1,4.410734214623477,0,extinction,0,0
17,chainWM,2.8,0.0001,0.2,0,,,1,4.9928466987625315,0,extinction,0,0
18,chainWM,2.8,0.0001,0.2,0,,,1,4.0516114131186605,0,extinction,0,0
19,chainWM,2.8,0.0001,0.2,0,,,1,3.823942876714484,0,extinction,0,0
20,chainWM,2.8,0.0001,0.2,0,,,1,3.1836210744228564,0,extinction,0,0
21,chainWM,2.8,0.0001,0.2,0,,,1,4.393707395094763,0,extinction,0,0
22,chainWM,2.8,0.0001,0.2,0,,,1,3.4834798397816025,0,extinction,0,0
23,chainWM,2.8,0.0001,0.2,0,,,1,5.630044639025378,0,extinction,0,0
24,chainWM,2.8,0.0001,0.2,0,,,1,3.7974730387087656,0,extinction,0,0
25,chainWM,2.8,0.0001,0.2,0,,,1,3.88437301113133,0,extinction,0,0
26,chainWM,2.8,0.0001,0.2,1,2.347802107063977,edge,0,,25,rescue,0,1
27,chainWM,2.8,0.0001,0.2,0,,,1,4.612922156934506,0,extinction,0,0
