seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,biofilm,1.05,0.0001,0.2,1,35.82299093430706,edge,0,,818,rescue,1,1
1,biofilm,1.05,0.0001,0.2,0,,,0,,198,maxTime,2,1
2,biofilm,1.05,0.0001,0.2,1,80.75074041831829,edge,0,,562,rescue,1,1
3,biofilm,1.05,0.0001,0.2,1,98.17989697364766,edge,0,,613,rescue,2,1
4,biofilm,1.05,0.0001,0.2,0,,,1,194.5701946556964,0,extinction,0,0
5,biofilm,1.05,0.0001,0.2,1,9.300648769086417,core,0,,952,rescue,1,0
6,biofilm,1.05,0.0001,0.2,1,79.59908035199594,edge,0,,731,rescue,1,1
7,biofilm,1.05,0.0001,0.2,0,,,0,,148,maxTime,3,2
8,biofilm,1.05,0.0001,0.2,1,100.46312834263296,core,0,,473,rescue,4,0
9,biofilm,1.05,0.0001,0.2,1,164.13455128213926,edge,0,,498,rescue,1,1
10,biofilm,1.05,0.0001,0.2,0,,,0,,17,maxTime,1,1
11,biofilm,1.05,0.0001,0.2,1,11.33639594726142,edge,0,,910,rescue,1,1
12,biofilm,1.05,0.0001,0.2,1,9.98543065289572,edge,0,,909,rescue,0,1
13,biofilm,1.05,0.0001,0.2,1,120.69101341129748,edge,0,,374,rescue,2,1
14,biofilm,1.05,0.0001,0.2,1,92.9047272977964,edge,0,,756,rescue,2,1
15,biofilm,1.05,0.0001,0.2,0,,,0,,11,maxTime,1,1
16,biofilm,1.05,0.0001,0.2,1,21.39517592118472,edge,0,,867,rescue,0,1
17,biofilm,1.05,0.0001,0.2,1,41.51392596144803,edge,0,,1039,rescue,3,3
18,biofilm,1.05,0.0001,0.2,0,,,0,,141,maxTime,0,0
19,biofilm,1.05,0.0001,0.2,0,,,0,,107,maxTime,1,2
20,biofilm,1.05,0.0001,0.2,1,124.71033615864644,edge,0,,387,rescue,1,3
21,biofilm,1.05,0.0001,0.2,1,16.43519859032591,edge,0,,831,rescue,0,1
22,biofilm,1.05,0.0001,0.2,1,60.20291005069252,edge,0,,788,rescue,1,1
