seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,wellMixed,1.6,0.0001,,0,,,1,13.625270292953429,0,extinction,0,0
1,wellMixed,1.6,0.0001,,1,1.9077878545932456,,0,,357,rescue,0,1
2,wellMixed,1.6,0.0001,,0,,,1,11.17246282908778,0,extinction,0,0
3,wellMixed,1.6,0.0001,,1,6.087974976988054,,0,,50,rescue,0,1
4,wellMixed,1.6,0.0001,,0,,,1,12.096325401003673,0,extinction,0,0
5,wellMixed,1.6,0.0001,,0,,,1,9.085584501064945,0,extinction,0,1
6,wellMixed,1.6,0.0001,,0,,,1,12.912831572664636,0,extinction,0,0
7,wellMixed,1.6,0.0001,,0,,,1,10.608809617634853,0,extinction,0,0
8,wellMixed,1.6,0.0001,,0,,,1,8.7778841456872,0,extinction,0,0
9,wellMixed,1.6,0.0001,,0,,,1,9.870316602885822,0,extinction,0,0
10,wellMixed,1.6,0.0001,,0,,,1,9.703329568437056,0,extinction,0,0
11,wellMixed,1.6,0.0001,,0,,,1,10.796145170517585,0,extinction,0,0
12,wellMixed,1.6,0.0001,,0,,,1,7.928361255647681,0,extinction,0,1
13,wellMixed,1.6,0.0001,,0,,,1,10.261336680528172,0,extinction,0,0
14,wellMixed,1.6,0.0001,,0,,,1,12.560637985355312,0,extinction,0,0
15,wellMixed,1.6,0.0001,,0,,,1,9.33356155190282,0,extinction,0,0
16,wellMixed,1.6,0.0001,,0,,,1,8.943692888388274,0,extinction,0,0
17,wellMixed,1.6,0.0001,,0,,,1,12.77760212538026,0,extinction,0,0
18,wellMixed,1.6,0.0001,,0,,,1,10.299974416051766,0,extinction,0,0
19,wellMixed,1.6,0.0001,,0,,,1,10.67771309357213,0,extinction,0,0
20,wellMixed,1.6,0.0001,,0,,,1,10.689415315879407,0,extinction,0,0
21,wellMixed,1.6,0.0001,,0,,,1,10.318651046087428,0,extinction,0,0
22,wellMixed,1.6,0.0001,,0,,,1,10.22374446381522,0,extinction,0,0
23,wellMixed,1.6,0.0001,,0,,,1,12.734031617597415,0,extinction,0,1
24,wellMixed,1.6,0.0001,,0,,,1,8.617522692196001,0,extinction,0,0
25,wellMixed,1.6,0.0001,,0,,,1,12.233074873205062,0,extinction,0,0
26,wellMixed,1.6,0.0001,,0,,,1,10.040896825632565,0,extinction,0,1
27,wellMixed,1.6,0.0001,,0,,,1,12.925199992229114,0,extinction,0,0
28,wellMixed,1.6,0.0001,,0,,,1,10.846880783201959,0,extinction,0,0
29,wellMixed,1.6,0.0001,,0,,,1,11.459139444651461,0,extinction,0,0
30,wellMixed,1.6,0.0001,,0,,,1,9.120478554579226,0,extinction,0,0
31,wellMixed,1.6,0.0001,,0,,,1,8.070029883021938,0,extinction,0,0
32,wellMixed,1.6,0.0001,,0,,,1,12.808209854993292,0,extinction,0,0
33,wellMixed,1.6,0.0001,,0,,,1,9.750148478982123,0,extinction,0,0
34,wellMixed,1.6,0.0001,,0,,,1,8.570297763436239,0,extinction,0,0
